,Author,Number of Publications,Affliation
250,"TABIN, CLIFFORD",94,Harvard
251,"TESTA, MARCIA",28,Harvard
252,"THOMAS, SHEILA",10,Harvard
253,"TONELLATO, PETER",15,Harvard
254,"TRITSCH, NICOLAS",6,Harvard
255,"UCHIDA, NAOSHIGE",28,Harvard
256,"VALLENDER, ERIC",33,Harvard
257,"VANDERWEELE, TYLER",158,Harvard
258,"WAGERS, AMY",84,Harvard
259,"WAGNER, GERHARD",169,Harvard
260,"WALKER, BRUCE",222,Harvard
261,"WALKER, SUZANNE",87,Harvard
262,"WALTER, JOHANNES",61,Harvard
263,"WALTHER, TOBIAS",19,Harvard
264,"WARE, NORMA",33,Harvard
265,"WARNER, ERICA",17,Harvard
266,"WEISSKOPF, MARC",117,Harvard
267,"WEITZ, CHARLES",20,Harvard
268,"WEITZ, DAVID",248,Harvard
269,"WERFEL, JUSTIN",8,Harvard
270,"WESSLING-RESNICK, MARIANNE",57,Harvard
271,"WHELAN, SEAN",52,Harvard
272,"WHITMAN, MALCOLM",20,Harvard
273,"WILLETT, WALTER",785,Harvard
274,"WILLIAMS, DAVID",215,Harvard
275,"WILLIAMS, MICHELLE",166,Harvard
276,"WILSON, KATHRYN",49,Harvard
277,"WILSON, RACHEL",42,Harvard
278,"WIRTH, DYANN",108,Harvard
279,"WU, CHAO-TING",13,Harvard
280,"XIE, XIAOLIANG",13,Harvard
281,"XU, YAODA",22,Harvard
282,"YANKNER, BRUCE",22,Harvard
283,"YAO, WEI-DONG",20,Harvard
284,"YEH, JENNIFER",24,Harvard
285,"YELLEN, GARY",38,Harvard
286,"YIN, PENG",44,Harvard
287,"YOUNG, SIMON",1,Harvard
288,"YUAN, JUNYING",91,Harvard
289,"YUAN, ZHI-MIN",28,Harvard
290,"ZANOBETTI, ANTONELLA",108,Harvard
291,"ZHANG, YUN",22,Harvard
292,"ZHUANG, XIAOWEI",87,Harvard
