"","Symbol","Date","Open","High","Low","Close","Adj.Close","Volume"
"1832","PM","2018-02-06",97.309998,100.639999,96.660004,100.330002,100.330002,9591600
"1833","PM","2018-02-07",99.900002,101.610001,98.5,98.879997,98.879997,5916800
"1834","PM","2018-02-08",99.519997,102.379997,99,100.389999,100.389999,11214300
"1835","PM","2018-02-09",100.900002,101.599998,98.550003,99.940002,99.940002,9899900
"1836","PM","2018-02-12",100.269997,103.07,99.790001,102.400002,102.400002,6468900
"1837","PM","2018-02-13",101.739998,103.160004,100.980003,103.050003,103.050003,5182300
"1838","PM","2018-02-14",102.75,103.5,101.739998,102.540001,102.540001,4253800
"1839","PM","2018-02-15",102.559998,103.709999,102.059998,103.690002,103.690002,4361100
"1840","PM","2018-02-16",103.309998,105.129997,103.050003,104.309998,104.309998,5168200
"1841","PYPL","2018-01-17",80.400002,82.610001,79.959999,82.470001,82.470001,7146900
"1842","PYPL","2018-01-18",82.43,83.440002,81.610001,82.940002,82.940002,7395100
"1843","PYPL","2018-01-19",83.230003,84.190002,83.127998,83.839996,83.839996,8783500
"1844","PYPL","2018-01-22",84,84.209999,83.220001,83.980003,83.980003,7560500
"1845","PYPL","2018-01-23",84.120003,84.550003,83.449997,84.209999,84.209999,9736400
"1846","PYPL","2018-01-24",84.519997,85.290001,82.709999,83.709999,83.709999,8735700
"1847","PYPL","2018-01-25",84,85.269997,83.709999,84.339996,84.339996,7268300
"1848","PYPL","2018-01-26",84.459999,85.489998,84.040001,85.449997,85.449997,7840300
"1849","PYPL","2018-01-29",85.199997,85.349998,83.620003,84.309998,84.309998,8198900
"1850","PYPL","2018-01-30",83,84.169998,82,83.779999,83.779999,7864500
"1851","PYPL","2018-01-31",84.18,86.32,84.160004,85.32,85.32,15221400
"1852","PYPL","2018-02-01",79.949997,80.949997,76.699997,78.400002,78.400002,44271600
"1853","PYPL","2018-02-02",78.099998,79.620003,76.279999,76.57,76.57,21979800
"1854","PYPL","2018-02-05",75.949997,78.980003,74.68,74.705002,74.705002,18810600
"1855","PYPL","2018-02-06",72.629997,76.514999,72.25,75.68,75.68,19739600
"1856","PYPL","2018-02-07",75.349998,77.580002,74.940002,75.589996,75.589996,11988000
"1857","PYPL","2018-02-08",75.629997,75.910004,72.269997,72.32,72.32,13665400
"1858","PYPL","2018-02-09",73.139999,75.269997,71.629997,74.75,74.75,14339400
"1859","PYPL","2018-02-12",75.489998,76.279999,74.851997,75.279999,75.279999,10419600
"1860","PYPL","2018-02-13",74.809998,75.599998,74.550003,74.970001,74.970001,7743600
"1861","PYPL","2018-02-14",74.18,77.360001,74.129997,77.269997,77.269997,8955800
"1862","PYPL","2018-02-15",78.010002,78.300003,76.580002,78.294998,78.294998,9311000
"1863","PYPL","2018-02-16",78.199997,78.75,77.529999,78.370003,78.370003,9740300
"1864","QCOM","2018-01-17",68.519997,68.900002,67.239998,68.019997,68.019997,12559100
"1865","QCOM","2018-01-18",67.75,68.18,67.489998,68.050003,68.050003,6797900
"1866","QCOM","2018-01-19",68.040001,68.25,67.75,68.040001,68.040001,8864300
"1867","QCOM","2018-01-22",67.809998,68.75,67.709999,68.669998,68.669998,8566200
"1868","QCOM","2018-01-23",68.599998,68.900002,68.239998,68.339996,68.339996,7825600
"1869","QCOM","2018-01-24",68.199997,68.290001,67.379997,67.980003,67.980003,12383100
"1870","QCOM","2018-01-25",68.139999,68.370003,67.290001,67.419998,67.419998,9122200
"1871","QCOM","2018-01-26",67.940002,68.529999,67.599998,68.529999,68.529999,7919000
"1872","QCOM","2018-01-29",68.160004,68.300003,67.239998,67.32,67.32,9745300
"1873","QCOM","2018-01-30",67.43,67.910004,66.730003,66.989998,66.989998,8059500
"1874","QCOM","2018-01-31",67.550003,68.379997,67.459999,68.25,68.25,13915600
"1875","QCOM","2018-02-01",67,68.349998,66.32,66.800003,66.800003,16838500
"1876","QCOM","2018-02-02",66.18,67.040001,65.860001,66.07,66.07,10971700
"1877","QCOM","2018-02-05",66.300003,66.550003,60.5,61.73,61.73,35996000
"1878","QCOM","2018-02-06",62.310001,64.529999,62.200001,64.400002,64.400002,24458700
"1879","QCOM","2018-02-07",64.220001,66.120003,64.019997,65.040001,65.040001,15021200
"1880","QCOM","2018-02-08",64.629997,65.07,62.400002,62.419998,62.419998,13451600
"1881","QCOM","2018-02-09",62.950001,64.32,61.459999,63.990002,63.990002,23095000
"1882","QCOM","2018-02-12",64.889999,65.699997,64.389999,65.660004,65.660004,13692100
"1883","QCOM","2018-02-13",65.230003,65.760002,64.980003,65.699997,65.699997,7695900
"1884","QCOM","2018-02-14",65.150002,66.800003,65.099998,66.589996,66.589996,10370900
"1885","QCOM","2018-02-15",66.379997,66.379997,63.860001,65.279999,65.279999,15548400
"1886","QCOM","2018-02-16",64.769997,65.830002,64.599998,64.849998,64.849998,11744400
"1887","RTN","2018-01-17",197.020004,197.949997,196.070007,196.990005,196.990005,1519400
"1888","RTN","2018-01-18",197.160004,198.130005,195.529999,195.710007,195.710007,1379000
